Symbol,BetaEndDate,Instance,Beta,UpsideBeta,DownsideBeta
CCI-US,12/31/2021,CCI-US_12/31/2021,0.517760414,0.6470453,0.547272719
SHW-US,12/31/2021,SHW-US_12/31/2021,0.716784712,0.873673723,0.57502678
USB-US,12/31/2021,USB-US_12/31/2021,0.934583816,0.82011946,1.060553753
F-US,12/31/2021,F-US_12/31/2021,1.215686089,1.294568925,1.235979141
EL-US,12/31/2021,EL-US_12/31/2021,1.217392904,1.198581697,1.253891246
DUK-US,12/31/2021,DUK-US_12/31/2021,0.239776831,0.273639656,0.260613844
ITW-US,12/31/2021,ITW-US_12/31/2021,0.746379829,0.804954181,0.673844294
ICE-US,12/31/2021,ICE-US_12/31/2021,0.797072154,0.893908188,0.71399059
EQIX-US,12/31/2021,EQIX-US_12/31/2021,0.454660685,0.577536406,0.437345253
SNOW-US,12/31/2021,SNOW-US_12/31/2021,1.845753385,2.091969333,1.718606975
BDX-US,12/31/2021,BDX-US_12/31/2021,0.208789822,0.177599037,0.210016748
WM-US,12/31/2021,WM-US_12/31/2021,0.551172607,0.591153618,0.499212614
CI-US,12/31/2021,CI-US_12/31/2021,0.668954461,0.715808639,0.642210644
EW-US,12/31/2021,EW-US_12/31/2021,1.035959564,1.186615146,1.006402767
FIS-US,12/31/2021,FIS-US_12/31/2021,0.867776108,0.849176261,0.846226301
TMUS-US,12/31/2021,TMUS-US_12/31/2021,0.893520491,0.933282489,0.903472133
ETN-US,12/31/2021,ETN-US_12/31/2021,1.020066025,1.14628525,0.888585075
NSC-US,12/31/2021,NSC-US_12/31/2021,0.889222848,1.056818918,0.734607711
COF-US,12/31/2021,COF-US_12/31/2021,1.118114598,1.25687174,0.982359808
AON-US,12/31/2021,AON-US_12/31/2021,0.725155005,0.748055252,0.742314658
SO-US,12/31/2021,SO-US_12/31/2021,0.405632643,0.39977167,0.479097
UBER-US,12/31/2021,UBER-US_12/31/2021,1.577422455,1.597226561,1.585524953
APD-US,12/31/2021,APD-US_12/31/2021,0.733418647,0.752290498,0.722569483
REGN-US,12/31/2021,REGN-US_12/31/2021,0.741410734,0.570448832,0.84008854
CL-US,12/31/2021,CL-US_12/31/2021,0.276396878,0.223546705,0.323363216
#N/A,12/31/2021,#N/A,#VALUE!,#VALUE!,#VALUE!
MCO-US,12/31/2021,MCO-US_12/31/2021,0.999205255,1.180481669,0.885783501
KLAC-US,12/31/2021,KLAC-US_12/31/2021,1.9403993,2.076696666,1.922769124
NXPI-US,12/31/2021,NXPI-US_12/31/2021,1.945921182,2.233891945,1.690718622
D-US,12/31/2021,D-US_12/31/2021,0.369778309,0.310434469,0.422792582
MRVL-US,12/31/2021,MRVL-US_12/31/2021,1.80554842,1.880123601,1.79316934
FISV-US,12/31/2021,FISV-US_12/31/2021,0.928646744,0.994244689,0.764878912
FDX-US,12/31/2021,FDX-US_12/31/2021,0.940852739,0.781490308,1.091558182
HCA-US,12/31/2021,HCA-US_12/31/2021,0.974656305,1.228949873,0.752947838
DXCM-US,12/31/2021,DXCM-US_12/31/2021,1.175775201,1.170638886,1.159830835
ECL-US,12/31/2021,ECL-US_12/31/2021,0.934610029,0.911098318,0.903057654
JCI-US,12/31/2021,JCI-US_12/31/2021,0.984222346,1.081301887,0.856783624
ADSK-US,12/31/2021,ADSK-US_12/31/2021,1.550767494,1.650561448,1.479236048
HUM-US,12/31/2021,HUM-US_12/31/2021,0.532021421,0.578055432,0.467526202
PGR-US,12/31/2021,PGR-US_12/31/2021,0.546691467,0.51974544,0.478744808
XLNX-US,12/31/2021,XLNX-US_12/31/2021,1.826906018,1.7211419,1.938763727
BSX-US,12/31/2021,BSX-US_12/31/2021,0.915413955,1.024169468,0.924132386
FCX-US,12/31/2021,FCX-US_12/31/2021,1.823445692,1.82195332,1.570778057
TEAM-US,12/31/2021,TEAM-US_12/31/2021,1.251753411,1.657850631,1.00242227
ILMN-US,12/31/2021,ILMN-US_12/31/2021,1.034004666,1.132190536,0.953118018
EMR-US,12/31/2021,EMR-US_12/31/2021,1.098872884,1.09357129,1.044218237
NOC-US,12/31/2021,NOC-US_12/31/2021,0.397392976,0.463763881,0.344710781
DG-US,12/31/2021,DG-US_12/31/2021,0.52313823,0.310009586,0.785503461
LULU-US,12/31/2021,LULU-US_12/31/2021,1.089590366,1.092436184,1.126084289
WDAY-US,12/31/2021,WDAY-US_12/31/2021,1.487583625,1.562113906,1.474722013
SPG-US,12/31/2021,SPG-US_12/31/2021,1.346427654,1.097138468,1.584381198
EXC-US,12/31/2021,EXC-US_12/31/2021,0.691323898,0.598693557,0.791230433
SNPS-US,12/31/2021,SNPS-US_12/31/2021,1.670864775,1.620280638,1.610095929
NET-US,12/31/2021,NET-US_12/31/2021,1.916003249,1.853454689,1.782887425
IDXX-US,12/31/2021,IDXX-US_12/31/2021,1.220782916,1.344500367,1.190936576
PANW-US,12/31/2021,PANW-US_12/31/2021,1.047204066,1.13147817,1.14841069
EOG-US,12/31/2021,EOG-US_12/31/2021,1.102364049,1.290884165,0.890234091
IQV-US,12/31/2021,IQV-US_12/31/2021,0.942506642,1.062966037,0.859361035
ALGN-US,12/31/2021,ALGN-US_12/31/2021,1.646797952,1.671376185,1.624660054
MSCI-US,12/31/2021,MSCI-US_12/31/2021,1.305133788,1.343299655,1.313644451
ROP-US,12/31/2021,ROP-US_12/31/2021,0.75654472,0.796392944,0.766067685
PSA-US,12/31/2021,PSA-US_12/31/2021,0.352112185,0.513066334,0.256834476
CDNS-US,12/31/2021,CDNS-US_12/31/2021,1.637802398,1.737800751,1.452973599
INFO-US,12/31/2021,INFO-US_12/31/2021,1.018237057,1.139165747,0.962411803
TWLO-US,12/31/2021,TWLO-US_12/31/2021,1.556880203,1.348413966,1.80602108
AIG-US,12/31/2021,AIG-US_12/31/2021,1.085485248,1.121673365,1.092130037
CARR-US,12/31/2021,CARR-US_12/31/2021,1.063828644,1.156952457,0.893444961
GD-US,12/31/2021,GD-US_12/31/2021,0.670646512,0.798157962,0.586223533
VRTX-US,12/31/2021,VRTX-US_12/31/2021,0.481584356,0.471482715,0.476415875
APH-US,12/31/2021,APH-US_12/31/2021,1.283682256,1.335466045,1.208720527
DOCU-US,12/31/2021,DOCU-US_12/31/2021,1.592832241,1.290239648,1.605704354
CMG-US,12/31/2021,CMG-US_12/31/2021,1.12898388,1.150376062,1.08159741
EBAY-US,12/31/2021,EBAY-US_12/31/2021,0.920382427,0.662540137,1.046705359
ZM-US,12/31/2021,ZM-US_12/31/2021,0.957505448,0.972439269,0.903418732
ATVI-US,12/31/2021,ATVI-US_12/31/2021,0.818339578,0.785754923,0.840156876
A-US,12/31/2021,A-US_12/31/2021,0.987066072,0.941002597,1.004130183
DLR-US,12/31/2021,DLR-US_12/31/2021,0.375759782,0.560184499,0.283194524
CRWD-US,12/31/2021,CRWD-US_12/31/2021,1.266947151,1.134921665,1.370591495
TT-US,12/31/2021,TT-US_12/31/2021,1.04219567,1.111385245,0.906638079
TROW-US,12/31/2021,TROW-US_12/31/2021,1.38409478,1.423717039,1.417815949
KMB-US,12/31/2021,KMB-US_12/31/2021,0.074539602,-0.034157831,0.160337421
BK-US,12/31/2021,BK-US_12/31/2021,0.837884106,0.844543118,0.888587501
NEM-US,12/31/2021,NEM-US_12/31/2021,0.360127823,0.509722365,0.177236247
TTD-US,12/31/2021,TTD-US_12/31/2021,2.268331584,1.939948723,2.607576982
APTV-US,12/31/2021,APTV-US_12/31/2021,1.458643505,1.40272407,1.497596172
FTNT-US,12/31/2021,FTNT-US_12/31/2021,1.606273812,2.067309614,1.319801734
MET-US,12/31/2021,MET-US_12/31/2021,1.079609434,1.087693715,1.077804543
